FIELD,TP,TN,FP,FN,P,R,F1,A
product,185,0,0,0,1.0,1.0,1.0,1.0
price,185,0,0,0,1.0,1.0,1.0,1.0
client_name,36,0,0,0,1.0,1.0,1.0,1.0
